	virus_type	district	season	case_number	year	area [ha]	population	population_density	population_density_bw	pop_exp	pop_dens_exp	area_exp	area [km^2]	area ex [km^2]	mean_pop_dens_exp
25	IF C	BB	2000/01	0.0	2000	61783.0	364987.0	591.0	294.0	325445.91	526.76	61781.57	617.8157	617.82	587.7218181818182
26	not determined	BB	2000/01	0.0	2000	61783.0	364987.0	591.0	294.0	325445.91	526.76	61781.57	617.8157	617.82	587.7218181818182
27	IF A	BC	2000/01	12.0	2000	140984.0	182979.0	130.0	294.0	165651.81	117.51	140972.0	1409.72	1409.72	131.42499999999998
28	IF A(H1N1) pandemic09	BC	2000/01	0.0	2000	140984.0	182979.0	130.0	294.0	165651.81	117.51	140972.0	1409.72	1409.72	131.42499999999998
29	IF A(H1N1) prepandemic	BC	2000/01	0.0	2000	140984.0	182979.0	130.0	294.0	165651.81	117.51	140972.0	1409.72	1409.72	131.42499999999998
30	IF A(H1N2)	BC	2000/01	0.0	2000	140984.0	182979.0	130.0	294.0	165651.81	117.51	140972.0	1409.72	1409.72	131.42499999999998
31	IF A(H3N2)	BC	2000/01	0.0	2000	140984.0	182979.0	130.0	294.0	165651.81	117.51	140972.0	1409.72	1409.72	131.42499999999998
32	IF A/B not determined	BC	2000/01	0.0	2000	140984.0	182979.0	130.0	294.0	165651.81	117.51	140972.0	1409.72	1409.72	131.42499999999998
33	IF B	BC	2000/01	0.0	2000	140984.0	182979.0	130.0	294.0	165651.81	117.51	140972.0	1409.72	1409.72	131.42499999999998
34	IF C	BC	2000/01	0.0	2000	140984.0	182979.0	130.0	294.0	165651.81	117.51	140972.0	1409.72	1409.72	131.42499999999998
35	not determined	BC	2000/01	0.0	2000	140984.0	182979.0	130.0	294.0	165651.81	117.51	140972.0	1409.72	1409.72	131.42499999999998
36	IF A	BHS	2000/01	4.0	2000	137834.0	240545.0	175.0	294.0	221860.16	160.96	137832.76	1378.3276	1378.33	178.15772727272727
37	IF A(H1N1) pandemic09	BHS	2000/01	0.0	2000	137834.0	240545.0	175.0	294.0	221860.16	160.96	137832.76	1378.3276	1378.33	178.15772727272727
38	IF A(H1N1) prepandemic	BHS	2000/01	0.0	2000	137834.0	240545.0	175.0	294.0	221860.16	160.96	137832.76	1378.3276	1378.33	178.15772727272727
39	IF A(H1N2)	BHS	2000/01	0.0	2000	137834.0	240545.0	175.0	294.0	221860.16	160.96	137832.76	1378.3276	1378.33	178.15772727272727
40	IF A(H3N2)	BHS	2000/01	0.0	2000	137834.0	240545.0	175.0	294.0	221860.16	160.96	137832.76	1378.3276	1378.33	178.15772727272727
41	IF A/B not determined	BHS	2000/01	0.0	2000	137834.0	240545.0	175.0	294.0	221860.16	160.96	137832.76	1378.3276	1378.33	178.15772727272727
42	IF B	BHS	2000/01	0.0	2000	137834.0	240545.0	175.0	294.0	221860.16	160.96	137832.76	1378.3276	1378.33	178.15772727272727
43	IF C	BHS	2000/01	0.0	2000	137834.0	240545.0	175.0	294.0	221860.16	160.96	137832.76	1378.3276	1378.33	178.15772727272727
44	not determined	BHS	2000/01	0.0	2000	137834.0	240545.0	175.0	294.0	221860.16	160.96	137832.76	1378.3276	1378.33	178.15772727272727
45	IF A	BL	2000/01	1.0	2000	91773.0	192891.0	210.0	294.0	177786.35	193.73	91768.43	917.6842999999999	917.68	200.7631818181818
46	IF A(H1N1) pandemic09	BL	2000/01	0.0	2000	91773.0	192891.0	210.0	294.0	177786.35	193.73	91768.43	917.6842999999999	917.68	200.7631818181818
47	IF A(H1N1) prepandemic	BL	2000/01	0.0	2000	91773.0	192891.0	210.0	294.0	177786.35	193.73	91768.43	917.6842999999999	917.68	200.7631818181818
48	IF A(H1N2)	BL	2000/01	0.0	2000	91773.0	192891.0	210.0	294.0	177786.35	193.73	91768.43	917.6842999999999	917.68	200.7631818181818
49	IF A(H3N2)	BL	2000/01	0.0	2000	91773.0	192891.0	210.0	294.0	177786.35	193.73	91768.43	917.6842999999999	917.68	200.7631818181818
50	IF A/B not determined	BL	2000/01	0.0	2000	91773.0	192891.0	210.0	294.0	177786.35	193.73	91768.43	917.6842999999999	917.68	200.7631818181818
51	IF B	BL	2000/01	0.0	2000	91773.0	192891.0	210.0	294.0	177786.35	193.73	91768.43	917.6842999999999	917.68	200.7631818181818
52	IF C	BL	2000/01	0.0	2000	91773.0	192891.0	210.0	294.0	177786.35	193.73	91768.43	917.6842999999999	917.68	200.7631818181818
53	not determined	BL	2000/01	0.0	2000	91773.0	192891.0	210.0	294.0	177786.35	193.73	91768.43	917.6842999999999	917.68	200.7631818181818
54	IF A	BS	2000/01	1.0	2000	66478.0	199181.0	300.0	294.0	187189.59	281.58	66478.76	664.7876	664.79	306.7249999999999
55	IF A(H1N1) pandemic09	BS	2000/01	0.0	2000	66478.0	199181.0	300.0	294.0	187189.59	281.58	66478.76	664.7876	664.79	306.7249999999999
56	IF A(H1N1) prepandemic	BS	2000/01	0.0	2000	66478.0	199181.0	300.0	294.0	187189.59	281.58	66478.76	664.7876	664.79	306.7249999999999
57	IF A(H1N2)	BS	2000/01	0.0	2000	66478.0	199181.0	300.0	294.0	187189.59	281.58	66478.76	664.7876	664.79	306.7249999999999
58	IF A(H3N2)	BS	2000/01	0.0	2000	66478.0	199181.0	300.0	294.0	187189.59	281.58	66478.76	664.7876	664.79	306.7249999999999
59	IF A/B not determined	BS	2000/01	0.0	2000	66478.0	199181.0	300.0	294.0	187189.59	281.58	66478.76	664.7876	664.79	306.7249999999999
60	IF B	BS	2000/01	0.0	2000	66478.0	199181.0	300.0	294.0	187189.59	281.58	66478.76	664.7876	664.79	306.7249999999999
61	IF C	BS	2000/01	0.0	2000	66478.0	199181.0	300.0	294.0	187189.59	281.58	66478.76	664.7876	664.79	306.7249999999999
62	not determined	BS	2000/01	0.0	2000	66478.0	199181.0	300.0	294.0	187189.59	281.58	66478.76	664.7876	664.79	306.7249999999999
63	IF A	CW	2000/01	7.0	2000	79753.0	158959.0	199.0	294.0	137286.96	172.16	79746.14	797.4614	797.46	187.40772727272727
64	IF A(H1N1) pandemic09	CW	2000/01	0.0	2000	79753.0	158959.0	199.0	294.0	137286.96	172.16	79746.14	797.4614	797.46	187.40772727272727
65	IF A(H1N1) prepandemic	CW	2000/01	0.0	2000	79753.0	158959.0	199.0	294.0	137286.96	172.16	79746.14	797.4614	797.46	187.40772727272727
66	IF A(H1N2)	CW	2000/01	0.0	2000	79753.0	158959.0	199.0	294.0	137286.96	172.16	79746.14	797.4614	797.46	187.40772727272727
67	IF A(H3N2)	CW	2000/01	0.0	2000	79753.0	158959.0	199.0	294.0	137286.96	172.16	79746.14	797.4614	797.46	187.40772727272727
68	IF A/B not determined	CW	2000/01	0.0	2000	79753.0	158959.0	199.0	294.0	137286.96	172.16	79746.14	797.4614	797.46	187.40772727272727
69	IF B	CW	2000/01	1.0	2000	79753.0	158959.0	199.0	294.0	137286.96	172.16	79746.14	797.4614	797.46	187.40772727272727
70	IF C	CW	2000/01	0.0	2000	79753.0	158959.0	199.0	294.0	137286.96	172.16	79746.14	797.4614	797.46	187.40772727272727
71	not determined	CW	2000/01	0.0	2000	79753.0	158959.0	199.0	294.0	137286.96	172.16	79746.14	797.4614	797.46	187.40772727272727
72	IF A	EM	2000/01	4.0	2000	67990.0	151414.0	223.0	294.0	142669.67	209.85	67986.48	679.8648	679.86	229.18227272727273
73	IF A(H1N1) pandemic09	EM	2000/01	0.0	2000	67990.0	151414.0	223.0	294.0	142669.67	209.85	67986.48	679.8648	679.86	229.18227272727273
74	IF A(H1N1) prepandemic	EM	2000/01	0.0	2000	67990.0	151414.0	223.0	294.0	142669.67	209.85	67986.48	679.8648	679.86	229.18227272727273
75	IF A(H1N2)	EM	2000/01	0.0	2000	67990.0	151414.0	223.0	294.0	142669.67	209.85	67986.48	679.8648	679.86	229.18227272727273
76	IF A(H3N2)	EM	2000/01	0.0	2000	67990.0	151414.0	223.0	294.0	142669.67	209.85	67986.48	679.8648	679.86	229.18227272727273
77	IF A/B not determined	EM	2000/01	0.0	2000	67990.0	151414.0	223.0	294.0	142669.67	209.85	67986.48	679.8648	679.86	229.18227272727273
78	IF B	EM	2000/01	0.0	2000	67990.0	151414.0	223.0	294.0	142669.67	209.85	67986.48	679.8648	679.86	229.18227272727273
79	IF C	EM	2000/01	0.0	2000	67990.0	151414.0	223.0	294.0	142669.67	209.85	67986.48	679.8648	679.86	229.18227272727273
80	not determined	EM	2000/01	0.0	2000	67990.0	151414.0	223.0	294.0	142669.67	209.85	67986.48	679.8648	679.86	229.18227272727273
81	IF A	ENZ	2000/01	1.0	2000	57388.0	192852.0	336.0	294.0	179799.69	313.41	57368.48	573.6848	573.68	332.54318181818184
82	IF A(H1N1) pandemic09	ENZ	2000/01	0.0	2000	57388.0	192852.0	336.0	294.0	179799.69	313.41	57368.48	573.6848	573.68	332.54318181818184
83	IF A(H1N1) prepandemic	ENZ	2000/01	0.0	2000	57388.0	192852.0	336.0	294.0	179799.69	313.41	57368.48	573.6848	573.68	332.54318181818184
84	IF A(H1N2)	ENZ	2000/01	0.0	2000	57388.0	192852.0	336.0	294.0	179799.69	313.41	57368.48	573.6848	573.68	332.54318181818184
85	IF A(H3N2)	ENZ	2000/01	0.0	2000	57388.0	192852.0	336.0	294.0	179799.69	313.41	57368.48	573.6848	573.68	332.54318181818184
86	IF A/B not determined	ENZ	2000/01	0.0	2000	57388.0	192852.0	336.0	294.0	179799.69	313.41	57368.48	573.6848	573.68	332.54318181818184
87	IF B	ENZ	2000/01	0.0	2000	57388.0	192852.0	336.0	294.0	179799.69	313.41	57368.48	573.6848	573.68	332.54318181818184
88	IF C	ENZ	2000/01	0.0	2000	57388.0	192852.0	336.0	294.0	179799.69	313.41	57368.48	573.6848	573.68	332.54318181818184
89	not determined	ENZ	2000/01	0.0	2000	57388.0	192852.0	336.0	294.0	179799.69	313.41	57368.48	573.6848	573.68	332.54318181818184
90	IF A	ES	2000/01	9.0	2000	64144.0	500666.0	781.0	294.0	466438.13	727.18	64142.95	641.4295	641.43	786.9686363636364
91	IF A(H1N1) pandemic09	ES	2000/01	0.0	2000	64144.0	500666.0	781.0	294.0	466438.13	727.18	64142.95	641.4295	641.43	786.9686363636364
92	IF A(H1N1) prepandemic	ES	2000/01	0.0	2000	64144.0	500666.0	781.0	294.0	466438.13	727.18	64142.95	641.4295	641.43	786.9686363636364
93	IF A(H1N2)	ES	2000/01	0.0	2000	64144.0	500666.0	781.0	294.0	466438.13	727.18	64142.95	641.4295	641.43	786.9686363636364
94	IF A(H3N2)	ES	2000/01	0.0	2000	64144.0	500666.0	781.0	294.0	466438.13	727.18	64142.95	641.4295	641.43	786.9686363636364
95	IF A/B not determined	ES	2000/01	0.0	2000	64144.0	500666.0	781.0	294.0	466438.13	727.18	64142.95	641.4295	641.43	786.9686363636364
96	IF B	ES	2000/01	0.0	2000	64144.0	500666.0	781.0	294.0	466438.13	727.18	64142.95	641.4295	641.43	786.9686363636364
97	IF C	ES	2000/01	0.0	2000	64144.0	500666.0	781.0	294.0	466438.13	727.18	64142.95	641.4295	641.43	786.9686363636364
98	not determined	ES	2000/01	0.0	2000	64144.0	500666.0	781.0	294.0	466438.13	727.18	64142.95	641.4295	641.43	786.9686363636364
99	IF A	FDS	2000/01	1.0	2000	87065.0	120848.0	139.0	294.0	109589.72	125.88	87060.86	870.6086	870.61	131.26454545454547
100	IF A(H1N1) pandemic09	FDS	2000/01	0.0	2000	87065.0	120848.0	139.0	294.0	109589.72	125.88	87060.86	870.6086	870.61	131.26454545454547
101	IF A(H1N1) prepandemic	FDS	2000/01	0.0	2000	87065.0	120848.0	139.0	294.0	109589.72	125.88	87060.86	870.6086	870.61	131.26454545454547
102	IF A(H1N2)	FDS	2000/01	0.0	2000	87065.0	120848.0	139.0	294.0	109589.72	125.88	87060.86	870.6086	870.61	131.26454545454547
103	IF A(H3N2)	FDS	2000/01	0.0	2000	87065.0	120848.0	139.0	294.0	109589.72	125.88	87060.86	870.6086	870.61	131.26454545454547
104	IF A/B not determined	FDS	2000/01	0.0	2000	87065.0	120848.0	139.0	294.0	109589.72	125.88	87060.86	870.6086	870.61	131.26454545454547
105	IF B	FDS	2000/01	0.0	2000	87065.0	120848.0	139.0	294.0	109589.72	125.88	87060.86	870.6086	870.61	131.26454545454547
106	IF C	FDS	2000/01	0.0	2000	87065.0	120848.0	139.0	294.0	109589.72	125.88	87060.86	870.6086	870.61	131.26454545454547
107	not determined	FDS	2000/01	0.0	2000	87065.0	120848.0	139.0	294.0	109589.72	125.88	87060.86	870.6086	870.61	131.26454545454547
108	IF A	FR	2000/01	10.0	2000	15306.0	205102.0	1340.0	294.0	195420.47	1276.76	15305.52	153.0552	153.06	1408.0099999999995
109	IF A(H1N1) pandemic09	FR	2000/01	0.0	2000	15306.0	205102.0	1340.0	294.0	195420.47	1276.76	15305.52	153.0552	153.06	1408.0099999999995
110	IF A(H1N1) prepandemic	FR	2000/01	0.0	2000	15306.0	205102.0	1340.0	294.0	195420.47	1276.76	15305.52	153.0552	153.06	1408.0099999999995
111	IF A(H1N2)	FR	2000/01	0.0	2000	15306.0	205102.0	1340.0	294.0	195420.47	1276.76	15305.52	153.0552	153.06	1408.0099999999995
112	IF A(H3N2)	FR	2000/01	0.0	2000	15306.0	205102.0	1340.0	294.0	195420.47	1276.76	15305.52	153.0552	153.06	1408.0099999999995
113	IF A/B not determined	FR	2000/01	0.0	2000	15306.0	205102.0	1340.0	294.0	195420.47	1276.76	15305.52	153.0552	153.06	1408.0099999999995
114	IF B	FR	2000/01	1.0	2000	15306.0	205102.0	1340.0	294.0	195420.47	1276.76	15305.52	153.0552	153.06	1408.0099999999995
115	IF C	FR	2000/01	0.0	2000	15306.0	205102.0	1340.0	294.0	195420.47	1276.76	15305.52	153.0552	153.06	1408.0099999999995
116	not determined	FR	2000/01	0.0	2000	15306.0	205102.0	1340.0	294.0	195420.47	1276.76	15305.52	153.0552	153.06	1408.0099999999995
117	IF A	GP	2000/01	7.0	2000	64233.0	256792.0	400.0	294.0	230714.13	359.17	64235.29	642.3529	642.35	382.87000000000006
118	IF A(H1N1) pandemic09	GP	2000/01	0.0	2000	64233.0	256792.0	400.0	294.0	230714.13	359.17	64235.29	642.3529	642.35	382.87000000000006
119	IF A(H1N1) prepandemic	GP	2000/01	0.0	2000	64233.0	256792.0	400.0	294.0	230714.13	359.17	64235.29	642.3529	642.35	382.87000000000006
120	IF A(H1N2)	GP	2000/01	0.0	2000	64233.0	256792.0	400.0	294.0	230714.13	359.17	64235.29	642.3529	642.35	382.87000000000006
121	IF A(H3N2)	GP	2000/01	0.0	2000	64233.0	256792.0	400.0	294.0	230714.13	359.17	64235.29	642.3529	642.35	382.87000000000006
122	IF A/B not determined	GP	2000/01	0.0	2000	64233.0	256792.0	400.0	294.0	230714.13	359.17	64235.29	642.3529	642.35	382.87000000000006
123	IF B	GP	2000/01	0.0	2000	64233.0	256792.0	400.0	294.0	230714.13	359.17	64235.29	642.3529	642.35	382.87000000000006
124	IF C	GP	2000/01	0.0	2000	64233.0	256792.0	400.0	294.0	230714.13	359.17	64235.29	642.3529	642.35	382.87000000000006
125	not determined	GP	2000/01	0.0	2000	64233.0	256792.0	400.0	294.0	230714.13	359.17	64235.29	642.3529	642.35	382.87000000000006
126	IF A	HD	2000/01	0.0	2000	10883.0	140259.0	1289.0	294.0	134359.35	1234.47	10883.67	108.83670000000001	108.84	1370.9886363636363
127	IF A(H1N1) pandemic09	HD	2000/01	0.0	2000	10883.0	140259.0	1289.0	294.0	134359.35	1234.47	10883.67	108.83670000000001	108.84	1370.9886363636363
128	IF A(H1N1) prepandemic	HD	2000/01	0.0	2000	10883.0	140259.0	1289.0	294.0	134359.35	1234.47	10883.67	108.83670000000001	108.84	1370.9886363636363
129	IF A(H1N2)	HD	2000/01	0.0	2000	10883.0	140259.0	1289.0	294.0	134359.35	1234.47	10883.67	108.83670000000001	108.84	1370.9886363636363
130	IF A(H3N2)	HD	2000/01	0.0	2000	10883.0	140259.0	1289.0	294.0	134359.35	1234.47	10883.67	108.83670000000001	108.84	1370.9886363636363
131	IF A/B not determined	HD	2000/01	0.0	2000	10883.0	140259.0	1289.0	294.0	134359.35	1234.47	10883.67	108.83670000000001	108.84	1370.9886363636363
132	IF B	HD	2000/01	1.0	2000	10883.0	140259.0	1289.0	294.0	134359.35	1234.47	10883.67	108.83670000000001	108.84	1370.9886363636363
133	IF C	HD	2000/01	0.0	2000	10883.0	140259.0	1289.0	294.0	134359.35	1234.47	10883.67	108.83670000000001	108.84	1370.9886363636363
134	not determined	HD	2000/01	0.0	2000	10883.0	140259.0	1289.0	294.0	134359.35	1234.47	10883.67	108.83670000000001	108.84	1370.9886363636363
135	IF A	HDH	2000/01	7.0	2000	62713.0	136976.0	218.0	294.0	119601.01	190.71	62712.52	627.1252	627.13	202.40272727272725
136	IF A(H1N1) pandemic09	HDH	2000/01	0.0	2000	62713.0	136976.0	218.0	294.0	119601.01	190.71	62712.52	627.1252	627.13	202.40272727272725
137	IF A(H1N1) prepandemic	HDH	2000/01	0.0	2000	62713.0	136976.0	218.0	294.0	119601.01	190.71	62712.52	627.1252	627.13	202.40272727272725
138	IF A(H1N2)	HDH	2000/01	0.0	2000	62713.0	136976.0	218.0	294.0	119601.01	190.71	62712.52	627.1252	627.13	202.40272727272725
139	IF A(H3N2)	HDH	2000/01	0.0	2000	62713.0	136976.0	218.0	294.0	119601.01	190.71	62712.52	627.1252	627.13	202.40272727272725
140	IF A/B not determined	HDH	2000/01	0.0	2000	62713.0	136976.0	218.0	294.0	119601.01	190.71	62712.52	627.1252	627.13	202.40272727272725
141	IF B	HDH	2000/01	0.0	2000	62713.0	136976.0	218.0	294.0	119601.01	190.71	62712.52	627.1252	627.13	202.40272727272725
142	IF C	HDH	2000/01	0.0	2000	62713.0	136976.0	218.0	294.0	119601.01	190.71	62712.52	627.1252	627.13	202.40272727272725
143	not determined	HDH	2000/01	0.0	2000	62713.0	136976.0	218.0	294.0	119601.01	190.71	62712.52	627.1252	627.13	202.40272727272725
144	IF A	HNL	2000/01	6.0	2000	109991.0	320955.0	292.0	294.0	290710.31	264.3	109992.76	1099.9276	1099.93	291.55227272727274
145	IF A(H1N1) pandemic09	HNL	2000/01	0.0	2000	109991.0	320955.0	292.0	294.0	290710.31	264.3	109992.76	1099.9276	1099.93	291.55227272727274
146	IF A(H1N1) prepandemic	HNL	2000/01	0.0	2000	109991.0	320955.0	292.0	294.0	290710.31	264.3	109992.76	1099.9276	1099.93	291.55227272727274
147	IF A(H1N2)	HNL	2000/01	0.0	2000	109991.0	320955.0	292.0	294.0	290710.31	264.3	109992.76	1099.9276	1099.93	291.55227272727274
148	IF A(H3N2)	HNL	2000/01	0.0	2000	109991.0	320955.0	292.0	294.0	290710.31	264.3	109992.76	1099.9276	1099.93	291.55227272727274
149	IF A/B not determined	HNL	2000/01	0.0	2000	109991.0	320955.0	292.0	294.0	290710.31	264.3	109992.76	1099.9276	1099.93	291.55227272727274
150	IF B	HNL	2000/01	0.0	2000	109991.0	320955.0	292.0	294.0	290710.31	264.3	109992.76	1099.9276	1099.93	291.55227272727274
151	IF C	HNL	2000/01	0.0	2000	109991.0	320955.0	292.0	294.0	290710.31	264.3	109992.76	1099.9276	1099.93	291.55227272727274
152	not determined	HNL	2000/01	0.0	2000	109991.0	320955.0	292.0	294.0	290710.31	264.3	109992.76	1099.9276	1099.93	291.55227272727274
153	IF A	HNS	2000/01	1.0	2000	9988.0	119305.0	1194.0	294.0	102792.05	1029.16	9988.33	99.8833	99.88	1161.2409090909089
154	IF A(H1N1) pandemic09	HNS	2000/01	0.0	2000	9988.0	119305.0	1194.0	294.0	102792.05	1029.16	9988.33	99.8833	99.88	1161.2409090909089
155	IF A(H1N1) prepandemic	HNS	2000/01	0.0	2000	9988.0	119305.0	1194.0	294.0	102792.05	1029.16	9988.33	99.8833	99.88	1161.2409090909089
156	IF A(H1N2)	HNS	2000/01	0.0	2000	9988.0	119305.0	1194.0	294.0	102792.05	1029.16	9988.33	99.8833	99.88	1161.2409090909089
157	IF A(H3N2)	HNS	2000/01	0.0	2000	9988.0	119305.0	1194.0	294.0	102792.05	1029.16	9988.33	99.8833	99.88	1161.2409090909089
158	IF A/B not determined	HNS	2000/01	0.0	2000	9988.0	119305.0	1194.0	294.0	102792.05	1029.16	9988.33	99.8833	99.88	1161.2409090909089
159	IF B	HNS	2000/01	0.0	2000	9988.0	119305.0	1194.0	294.0	102792.05	1029.16	9988.33	99.8833	99.88	1161.2409090909089
160	IF C	HNS	2000/01	0.0	2000	9988.0	119305.0	1194.0	294.0	102792.05	1029.16	9988.33	99.8833	99.88	1161.2409090909089
161	not determined	HNS	2000/01	0.0	2000	9988.0	119305.0	1194.0	294.0	102792.05	1029.16	9988.33	99.8833	99.88	1161.2409090909089
162	IF A	KAL	2000/01	10.0	2000	108496.0	419555.0	387.0	294.0	395302.78	364.33	108501.48	1085.0148	1085.01	390.1868181818182
163	IF A(H1N1) pandemic09	KAL	2000/01	0.0	2000	108496.0	419555.0	387.0	294.0	395302.78	364.33	108501.48	1085.0148	1085.01	390.1868181818182
164	IF A(H1N1) prepandemic	KAL	2000/01	0.0	2000	108496.0	419555.0	387.0	294.0	395302.78	364.33	108501.48	1085.0148	1085.01	390.1868181818182
165	IF A(H1N2)	KAL	2000/01	0.0	2000	108496.0	419555.0	387.0	294.0	395302.78	364.33	108501.48	1085.0148	1085.01	390.1868181818182
166	IF A(H3N2)	KAL	2000/01	0.0	2000	108496.0	419555.0	387.0	294.0	395302.78	364.33	108501.48	1085.0148	1085.01	390.1868181818182
167	IF A/B not determined	KAL	2000/01	0.0	2000	108496.0	419555.0	387.0	294.0	395302.78	364.33	108501.48	1085.0148	1085.01	390.1868181818182
168	IF B	KAL	2000/01	0.0	2000	108496.0	419555.0	387.0	294.0	395302.78	364.33	108501.48	1085.0148	1085.01	390.1868181818182
169	IF C	KAL	2000/01	0.0	2000	108496.0	419555.0	387.0	294.0	395302.78	364.33	108501.48	1085.0148	1085.01	390.1868181818182
170	not determined	KAL	2000/01	0.0	2000	108496.0	419555.0	387.0	294.0	395302.78	364.33	108501.48	1085.0148	1085.01	390.1868181818182
171	IF A	KAS	2000/01	19.0	2000	17346.0	278558.0	1606.0	294.0	270479.21	1559.41	17345.05	173.4505	173.45	1694.4036363636367
172	IF A(H1N1) pandemic09	KAS	2000/01	0.0	2000	17346.0	278558.0	1606.0	294.0	270479.21	1559.41	17345.05	173.4505	173.45	1694.4036363636367
173	IF A(H1N1) prepandemic	KAS	2000/01	0.0	2000	17346.0	278558.0	1606.0	294.0	270479.21	1559.41	17345.05	173.4505	173.45	1694.4036363636367
174	IF A(H1N2)	KAS	2000/01	0.0	2000	17346.0	278558.0	1606.0	294.0	270479.21	1559.41	17345.05	173.4505	173.45	1694.4036363636367
175	IF A(H3N2)	KAS	2000/01	0.0	2000	17346.0	278558.0	1606.0	294.0	270479.21	1559.41	17345.05	173.4505	173.45	1694.4036363636367
176	IF A/B not determined	KAS	2000/01	0.0	2000	17346.0	278558.0	1606.0	294.0	270479.21	1559.41	17345.05	173.4505	173.45	1694.4036363636367
177	IF B	KAS	2000/01	1.0	2000	17346.0	278558.0	1606.0	294.0	270479.21	1559.41	17345.05	173.4505	173.45	1694.4036363636367
178	IF C	KAS	2000/01	0.0	2000	17346.0	278558.0	1606.0	294.0	270479.21	1559.41	17345.05	173.4505	173.45	1694.4036363636367
179	not determined	KAS	2000/01	0.0	2000	17346.0	278558.0	1606.0	294.0	270479.21	1559.41	17345.05	173.4505	173.45	1694.4036363636367
180	IF A	KN	2000/01	0.0	2000	81776.0	266183.0	326.0	294.0	245121.61	299.67	81797.33	817.9733	817.97	327.97818181818184
181	IF A(H1N1) pandemic09	KN	2000/01	0.0	2000	81776.0	266183.0	326.0	294.0	245121.61	299.67	81797.33	817.9733	817.97	327.97818181818184
